frame,timestamp_s,floor_angle_deg,R Ankle,L Ankle,R Knee,L Knee,R Hip,L Hip,R Shoulder,L Shoulder,R Elbow,L Elbow,R Wrist,L Wrist
0,0.0,0.0,nan,nan,141.7,114.8,161.4,154.9,158.5,168.6,178.5,177.6,nan,nan
1,0.017,0.0,nan,nan,139.7,109.6,162.8,149.1,159.2,168.9,178.3,177.6,nan,nan
2,0.033,0.0,nan,nan,138.6,106.9,164.8,146.1,160.0,167.5,178.0,175.8,nan,nan
3,0.05,0.0,nan,nan,138.3,104.8,164.5,144.1,160.1,167.8,177.9,176.1,nan,nan
4,0.067,0.0,nan,nan,140.6,105.5,162.9,144.0,159.0,168.9,179.2,176.2,nan,nan
5,0.083,0.0,nan,nan,144.9,104.4,160.2,141.6,158.8,168.9,178.5,176.7,nan,nan
6,0.1,0.0,nan,nan,149.5,108.2,157.4,145.3,159.3,168.0,178.9,176.4,nan,nan
7,0.117,0.0,nan,nan,149.8,108.4,155.3,142.7,158.6,167.7,179.1,176.6,nan,nan
8,0.133,0.0,nan,nan,146.7,115.4,154.3,142.7,158.2,168.1,178.4,175.9,nan,nan
9,0.15,0.0,nan,nan,139.1,111.8,162.4,137.8,158.6,166.5,177.9,175.1,nan,nan
10,0.167,0.0,nan,nan,136.2,114.8,164.6,138.3,158.1,166.3,177.2,174.2,nan,nan
11,0.183,0.0,nan,nan,146.4,118.5,159.5,139.0,157.7,166.0,176.9,175.3,nan,nan
12,0.2,0.0,nan,nan,147.8,118.8,160.1,139.9,157.8,164.8,177.3,176.1,nan,nan
13,0.217,0.0,nan,nan,143.1,124.0,162.6,141.0,156.9,163.7,177.3,174.8,nan,nan
14,0.233,0.0,nan,nan,142.7,122.6,165.1,138.3,156.7,163.3,176.2,175.7,nan,nan
15,0.25,0.0,nan,nan,142.7,130.9,163.2,139.2,155.6,162.5,176.5,176.1,nan,nan
16,0.267,0.0,nan,nan,144.1,137.9,159.9,141.7,155.1,161.8,176.5,176.3,nan,nan
17,0.283,0.0,nan,nan,148.3,133.1,159.3,134.1,154.9,159.4,175.7,176.1,nan,nan
18,0.3,0.0,nan,nan,142.4,126.6,165.6,129.3,153.6,158.6,177.7,176.6,nan,nan
19,0.317,0.0,nan,nan,137.9,133.8,167.5,129.7,153.0,157.8,176.9,177.4,nan,nan
20,0.333,0.0,nan,nan,139.0,135.3,166.9,130.5,151.9,157.5,176.9,177.5,nan,nan
21,0.35,0.0,nan,nan,129.8,130.8,171.0,126.5,151.2,156.0,176.6,177.8,nan,nan
22,0.367,0.0,nan,nan,128.5,123.0,175.2,120.6,150.4,153.5,175.7,177.2,nan,nan
23,0.383,0.0,nan,nan,126.7,119.6,177.6,117.3,150.2,152.5,174.2,177.9,nan,nan
24,0.4,0.0,nan,nan,122.2,121.1,179.0,116.5,148.8,152.2,173.7,177.9,nan,nan
25,0.417,0.0,nan,nan,116.5,127.1,174.9,118.6,148.6,151.2,172.3,178.0,nan,nan
26,0.433,0.0,nan,nan,116.9,126.7,175.8,116.5,146.7,149.5,172.6,177.0,nan,nan
27,0.45,0.0,nan,nan,126.9,123.5,177.5,115.2,146.4,148.5,170.8,177.7,nan,nan
28,0.467,0.0,nan,nan,124.7,125.0,177.6,115.8,143.6,148.7,171.8,179.0,nan,nan
29,0.483,0.0,nan,nan,131.0,124.6,173.9,114.4,142.6,147.6,169.1,179.4,nan,nan
30,0.5,0.0,nan,nan,135.1,123.5,170.7,116.0,141.2,146.8,170.8,178.7,nan,nan
31,0.517,0.0,nan,nan,140.3,123.4,165.0,117.3,139.0,147.6,169.0,179.3,nan,nan
32,0.533,0.0,nan,nan,144.4,121.7,161.6,119.3,136.5,147.8,167.9,179.1,nan,nan
33,0.55,0.0,nan,nan,144.0,122.8,162.8,120.5,134.9,148.1,163.9,179.3,nan,nan
34,0.567,0.0,nan,nan,149.4,124.2,157.6,123.5,134.0,146.6,160.0,179.4,nan,nan
35,0.584,0.0,nan,nan,156.0,126.4,153.3,126.5,133.2,146.6,158.3,178.2,nan,nan
36,0.6,0.0,nan,nan,152.5,131.0,157.0,128.9,131.3,146.6,156.9,177.9,nan,nan
37,0.617,0.0,nan,nan,153.3,136.6,157.1,131.4,130.9,146.2,153.4,177.2,nan,nan
38,0.634,0.0,nan,nan,156.6,132.2,154.8,131.1,130.9,145.7,150.7,177.2,nan,nan
39,0.65,0.0,nan,nan,148.2,139.0,157.0,133.7,130.8,146.1,148.5,177.8,nan,nan
40,0.667,0.0,nan,nan,134.3,141.5,160.9,134.1,132.2,146.0,142.9,177.9,nan,nan
41,0.684,0.0,nan,nan,132.1,141.8,162.3,130.8,131.4,143.2,144.4,177.1,nan,nan
42,0.7,0.0,nan,nan,143.3,137.9,153.9,132.9,131.0,142.5,142.2,176.0,nan,nan
43,0.717,0.0,nan,nan,135.1,140.4,153.8,136.2,128.3,143.3,146.2,177.2,nan,nan
44,0.734,0.0,nan,nan,125.7,144.3,157.7,139.8,128.3,141.4,147.3,177.1,nan,nan
45,0.75,0.0,nan,nan,122.1,143.2,157.4,139.2,129.3,139.2,144.3,175.8,nan,nan
46,0.767,0.0,nan,nan,123.8,143.0,154.7,139.7,128.4,138.7,146.9,176.8,nan,nan
47,0.784,0.0,nan,nan,121.0,148.9,154.5,143.6,127.1,136.5,150.9,174.3,nan,nan
48,0.8,0.0,nan,nan,121.5,149.0,151.5,145.8,126.7,135.3,152.8,173.6,nan,nan
49,0.817,0.0,nan,nan,124.2,149.9,148.8,145.5,126.0,137.1,155.3,178.1,nan,nan
50,0.834,0.0,nan,nan,125.8,151.1,146.2,145.5,125.1,136.1,158.5,178.7,nan,nan
51,0.85,0.0,nan,nan,119.9,154.2,150.8,147.2,123.3,134.0,162.7,177.8,nan,nan
52,0.867,0.0,nan,nan,119.5,150.7,153.3,143.2,125.5,132.0,162.1,178.3,nan,nan
53,0.884,0.0,nan,nan,123.2,154.2,153.7,146.1,124.5,130.6,163.6,177.3,nan,nan
54,0.9,0.0,nan,nan,120.7,154.3,155.6,144.8,126.9,128.5,164.7,178.8,nan,nan
55,0.917,0.0,nan,nan,119.2,154.7,156.7,145.9,128.0,125.4,166.0,178.8,nan,nan
56,0.934,0.0,nan,nan,124.6,156.4,159.3,145.6,126.7,124.9,169.6,179.4,nan,nan
57,0.95,0.0,nan,nan,128.6,158.5,160.7,146.0,127.4,122.1,171.0,179.1,nan,nan
58,0.967,0.0,nan,nan,130.5,158.9,164.5,147.9,129.7,118.8,170.7,179.3,nan,nan
59,0.984,0.0,nan,nan,155.5,162.6,165.3,150.0,130.6,117.9,169.8,177.7,nan,nan
